method,n_clusters,silhouette_score,calinski_score,inertia
K-Means,2,0.19978006732880524,82.02749194538697,1413.080457011972
Hierarchical,2,0.16374490082792592,67.07448751991885,
Hierarchical,3,0.16864950208185628,57.11883118963903,
Hierarchical,4,0.15904958860342203,49.111377605053754,
Hierarchical,5,0.09798367653202053,43.24757133145368,
Hierarchical,6,0.10180138562345775,38.85436585429721,
